SD-JWT,CSD-JWT,MERKLE,BBS+
849,459,1015,625
1032,597,1137,665
1220,736,1265,705
1396,875,1352,745
1584,1013,1467,785
1769,1152,1556,825
1952,1291,1704,865
2129,1429,1801,905
2301,1568,1923,945
2492,1709,2020,988
2676,1852,2125,1031
2869,1995,2233,1073
3055,2136,2345,1116
3252,2279,2477,1159
3440,2421,2585,1201
3607,2563,2693,1244
3784,2705,2796,1287
3987,2848,2935,1329
4189,2989,3039,1372
4365,3132,3176,1415
4548,3275,3273,1457
4753,3416,3380,1500
4915,3559,3497,1543
5124,3701,3604,1585
5289,3843,3737,1628
5487,3985,3844,1671
5667,4128,3969,1713
5855,4269,4073,1756
6047,4412,4185,1799
6232,4555,4303,1841
6408,4696,4405,1884
6596,4839,4507,1927
6784,4981,4649,1969
6972,5123,4739,2012
7176,5265,4841,2055
7353,5408,4965,2097
7535,5549,5095,2140
7731,5692,5209,2183
7917,5835,5323,2225
8099,5976,5433,2268
8280,6119,5553,2311
8467,6261,5661,2353
8648,6403,5771,2396
8855,6545,5888,2439
9040,6688,5997,2481
9220,6829,6111,2524
9407,6972,6227,2567
9595,7115,6340,2609
9775,7256,6449,2652
9953,7399,6559,2695
10155,7541,6688,2737
10339,7683,6799,2780
10521,7825,6911,2823
10724,7968,7027,2865
10897,8109,7149,2908
11091,8252,7252,2951
11283,8395,7372,2993
11468,8536,7464,3036
11645,8679,7591,3079
11839,8821,7709,3121
12019,8963,7840,3164
12201,9105,7932,3207
12404,9248,8048,3249
12589,9389,8153,3292
12760,9532,8263,3335
12960,9675,8400,3377
13140,9816,8487,3420
13316,9959,8605,3463
13513,10101,8735,3505
13708,10243,8849,3548
13863,10385,8948,3591
14073,10528,9069,3633
14276,10669,9185,3676
14456,10812,9301,3719
14623,10955,9417,3761
14820,11096,9541,3804
15009,11239,9643,3847
15197,11381,9735,3889
15389,11523,9869,3932
15559,11665,9973,3975
15768,11808,10093,4017
15923,11949,10209,4060
16137,12092,10339,4103
16317,12235,10435,4145
16495,12376,10561,4188
16669,12519,10665,4231
16883,12661,10783,4273
17041,12803,10887,4316
17260,12945,11009,4359
17433,13088,11123,4401
17615,13229,11237,4444
17812,13372,11353,4487
17993,13515,11471,4529
18168,13656,11583,4572
18356,13799,11701,4615
18544,13941,11789,4657
18733,14083,11919,4700
18924,14225,12021,4743
19123,14368,12145,4785
19309,14513,12264,4831
